SubjectID,StimulusType,response,RT
5,0,0,0
5,1,1,527
5,1,1,475
5,0,0,0
5,1,1,492
5,1,1,509
5,1,1,493
5,1,1,646
5,1,1,748
5,1,1,544
5,1,1,425
5,1,1,374
5,0,0,0
5,1,1,390
5,0,0,0
5,1,1,493
5,1,1,561
5,0,0,0
5,1,1,442
5,1,1,476
5,1,1,595
5,1,1,391
5,1,1,357
5,0,0,0
5,1,1,391
5,1,1,425
5,1,1,374
5,1,1,408
5,1,1,408
5,0,0,0
5,1,1,475
5,1,1,425
5,1,1,425
5,1,1,340
5,1,1,459
5,1,1,493
5,0,0,0
5,1,1,425
5,1,1,544
5,1,1,645
5,1,1,459
5,0,0,0
5,1,1,509
5,1,1,560
5,1,1,679
5,1,1,629
5,1,1,391
5,1,1,765
5,1,1,408
5,1,1,374
5,0,0,0
5,1,1,408
5,1,1,713
5,0,0,0
5,1,1,408
5,1,1,391
5,1,1,357
5,1,1,493
5,0,0,0
5,0,0,0
5,1,1,391
5,1,1,408
5,0,0,0
5,0,0,0
5,1,1,459
5,1,1,714
5,1,1,442
5,1,1,646
5,1,1,594
5,1,1,458
5,1,1,441
5,1,1,374
5,1,1,475
5,1,1,339
5,1,1,441
5,1,1,340
5,1,1,408
5,1,1,340
5,1,1,425
5,1,1,374
5,1,1,459
5,0,0,0
5,1,1,357
5,1,1,425
5,0,0,0
5,1,1,509
5,1,1,459
5,1,1,594
5,1,1,458
5,1,1,696
5,1,1,441
5,1,1,407
5,1,1,408
5,1,1,492
5,0,0,0
5,0,0,0
5,1,1,408
5,1,1,408
5,0,0,0
5,1,1,357
