SubjectID,StimulusType,response,RT
8003,1,1,473
8003,1,1,421
8003,1,1,388
8003,1,1,371
8003,0,0,0
8003,0,0,0
8003,1,1,437
8003,0,0,0
8003,0,0,0
8003,1,1,421
8003,1,1,521
8003,0,0,0
8003,1,1,453
8003,1,1,490
8003,1,1,442
8003,1,1,455
8003,1,1,424
8003,1,1,334
8003,1,1,440
8003,1,1,390
8003,1,1,389
8003,1,1,421
8003,1,1,388
8003,1,1,356
8003,0,0,0
8003,1,1,437
8003,1,1,441
8003,1,1,437
8003,1,1,388
8003,1,1,388
8003,0,0,0
8003,1,1,506
8003,0,0,0
8003,1,1,388
8003,1,1,472
8003,1,1,472
8003,1,1,472
8003,1,1,490
8003,1,1,557
8003,1,1,455
8003,1,1,474
8003,1,1,524
8003,1,1,438
8003,1,1,438
8003,1,1,487
8003,0,0,0
8003,1,1,403
8003,1,1,470
8003,1,1,389
8003,1,1,389
8003,1,1,490
8003,1,1,387
8003,1,1,389
8003,1,1,438
8003,1,1,457
8003,1,1,337
8003,1,1,471
8003,1,1,438
8003,1,1,403
8003,1,1,403
8003,1,1,391
8003,1,1,421
8003,1,1,422
8003,1,1,388
8003,1,1,417
8003,1,1,407
8003,0,0,0
8003,1,1,540
8003,0,0,0
8003,1,1,438
8003,1,1,522
8003,1,1,421
8003,1,1,422
8003,0,0,0
8003,1,1,457
8003,1,1,457
8003,1,1,421
8003,0,0,0
8003,1,1,391
8003,1,1,424
8003,1,1,417
8003,1,1,421
8003,0,0,0
8003,0,0,0
8003,1,1,406
8003,0,0,0
8003,1,1,421
8003,1,1,439
8003,0,0,0
8003,1,1,474
8003,1,1,439
8003,0,0,0
8003,0,0,0
8003,1,1,455
8003,1,1,456
8003,0,0,0
8003,1,1,387
8003,1,1,523
8003,1,1,454
8003,1,1,440
