SubjectID,StimulusType,response,RT
2,1,1,302
2,1,1,441
2,1,1,254
2,1,1,237
2,1,1,236
2,1,1,254
2,1,1,272
2,1,1,271
2,1,1,288
2,1,1,304
2,1,1,272
2,1,1,272
2,1,1,288
2,1,1,289
2,1,1,289
2,1,1,287
2,1,1,288
2,1,1,304
2,1,1,323
2,1,1,289
2,1,1,288
2,1,1,254
2,1,1,287
2,0,0,0
2,1,1,287
2,0,0,0
2,0,0,0
2,1,1,304
2,1,1,288
2,1,1,288
2,1,1,289
2,1,1,323
2,1,1,306
2,1,1,322
2,1,1,321
2,1,1,306
2,1,1,304
2,1,1,288
2,1,1,255
2,0,0,0
2,1,1,407
2,1,1,322
2,1,1,304
2,1,1,288
2,1,1,305
2,0,0,0
2,1,1,306
2,1,1,289
2,1,1,271
2,1,1,288
2,1,1,322
2,1,1,305
2,1,1,289
2,1,1,323
2,0,0,0
2,0,0,0
2,1,1,305
2,1,1,254
2,1,1,288
2,0,0,0
2,1,1,356
2,1,1,289
2,1,1,340
2,1,1,320
2,1,1,288
2,1,1,289
2,0,0,0
2,1,1,356
2,1,1,288
2,1,1,288
2,1,1,339
2,0,0,0
2,1,1,287
2,1,1,254
2,1,1,305
2,0,0,0
2,0,0,0
2,1,1,305
2,0,0,0
2,1,1,288
2,0,0,0
2,1,1,305
2,1,1,340
2,1,1,304
2,1,1,338
2,0,0,0
2,0,0,0
2,0,0,0
2,1,1,356
2,1,1,338
2,1,1,271
2,1,1,272
2,1,1,304
2,1,1,288
2,1,1,323
2,1,1,287
2,0,0,0
2,1,1,271
2,0,0,0
2,0,1,271
