SubjectID,StimulusType,response,RT
SubjectSimon01,1,1,343
SubjectSimon01,1,1,281
SubjectSimon01,1,1,280
SubjectSimon01,1,1,298
SubjectSimon01,1,1,297
SubjectSimon01,0,0,0
SubjectSimon01,1,1,265
SubjectSimon01,1,1,264
SubjectSimon01,0,0,0
SubjectSimon01,0,1,296
SubjectSimon01,0,0,0
SubjectSimon01,1,1,361
SubjectSimon01,1,1,279
SubjectSimon01,1,1,312
SubjectSimon01,1,1,313
SubjectSimon01,1,1,346
SubjectSimon01,1,1,280
SubjectSimon01,1,1,312
SubjectSimon01,1,1,344
SubjectSimon01,1,1,362
SubjectSimon01,1,1,332
SubjectSimon01,1,1,296
SubjectSimon01,1,1,312
SubjectSimon01,1,1,330
SubjectSimon01,1,1,311
SubjectSimon01,1,1,313
SubjectSimon01,1,1,328
SubjectSimon01,1,1,298
SubjectSimon01,1,1,300
SubjectSimon01,1,1,296
SubjectSimon01,0,1,295
SubjectSimon01,1,1,377
SubjectSimon01,1,1,348
SubjectSimon01,0,0,0
SubjectSimon01,1,1,346
SubjectSimon01,1,1,329
SubjectSimon01,1,1,313
SubjectSimon01,1,1,344
SubjectSimon01,1,1,280
SubjectSimon01,1,1,312
SubjectSimon01,0,0,0
SubjectSimon01,0,0,0
SubjectSimon01,1,1,346
SubjectSimon01,1,1,345
SubjectSimon01,1,1,329
SubjectSimon01,0,0,0
SubjectSimon01,0,0,0
SubjectSimon01,0,0,0
SubjectSimon01,1,1,297
SubjectSimon01,1,1,296
SubjectSimon01,0,0,0
SubjectSimon01,1,1,330
SubjectSimon01,1,1,346
SubjectSimon01,0,0,0
SubjectSimon01,1,1,329
SubjectSimon01,1,1,298
SubjectSimon01,1,1,296
SubjectSimon01,1,1,297
SubjectSimon01,1,1,313
SubjectSimon01,0,0,0
SubjectSimon01,1,1,297
SubjectSimon01,1,1,328
SubjectSimon01,1,1,296
SubjectSimon01,1,1,294
SubjectSimon01,1,1,299
SubjectSimon01,0,0,0
SubjectSimon01,1,1,281
SubjectSimon01,1,1,364
SubjectSimon01,1,1,313
SubjectSimon01,1,1,296
SubjectSimon01,1,1,299
SubjectSimon01,1,1,296
SubjectSimon01,1,1,280
SubjectSimon01,1,1,279
SubjectSimon01,1,1,261
SubjectSimon01,1,1,298
SubjectSimon01,1,1,298
SubjectSimon01,0,1,231
SubjectSimon01,1,1,280
SubjectSimon01,1,1,297
SubjectSimon01,0,0,0
SubjectSimon01,1,1,280
SubjectSimon01,0,0,0
SubjectSimon01,1,1,295
SubjectSimon01,1,1,313
SubjectSimon01,1,1,296
SubjectSimon01,1,1,332
SubjectSimon01,1,1,282
SubjectSimon01,1,1,279
SubjectSimon01,1,1,295
SubjectSimon01,1,1,329
SubjectSimon01,0,0,0
SubjectSimon01,1,1,277
SubjectSimon01,1,1,282
SubjectSimon01,1,1,294
SubjectSimon01,1,1,280
SubjectSimon01,0,0,0
SubjectSimon01,1,1,279
SubjectSimon01,1,1,295
SubjectSimon01,1,1,295
