SubjectID,StimulusType,response,RT
9002,1,1,781
9002,0,0,0
9002,1,1,339
9002,1,1,373
9002,0,0,0
9002,0,0,0
9002,1,1,323
9002,1,1,407
9002,1,1,356
9002,0,0,0
9002,1,1,305
9002,1,1,407
9002,1,1,357
9002,1,1,356
9002,0,0,0
9002,1,1,306
9002,0,0,0
9002,1,1,322
9002,1,1,477
9002,1,1,357
9002,0,0,0
9002,1,1,406
9002,1,1,408
9002,1,1,390
9002,1,1,424
9002,0,1,354
9002,1,1,339
9002,1,1,340
9002,1,1,339
9002,0,0,0
9002,1,1,322
9002,1,1,374
9002,1,1,322
9002,1,1,340
9002,1,1,339
9002,1,1,322
9002,1,1,324
9002,1,1,306
9002,0,0,0
9002,1,1,339
9002,0,0,0
9002,1,1,339
9002,0,0,0
9002,1,1,323
9002,1,1,374
9002,1,1,305
9002,1,1,305
9002,1,1,373
9002,1,1,509
9002,1,1,340
9002,1,1,356
9002,1,1,356
9002,1,1,357
9002,1,1,424
9002,1,1,391
9002,1,1,358
9002,1,1,358
9002,1,1,407
9002,0,0,0
9002,1,1,391
9002,0,0,0
9002,1,1,321
9002,1,1,355
9002,1,1,307
9002,1,1,341
9002,1,1,289
9002,1,1,339
9002,0,0,0
9002,1,1,340
9002,1,1,392
9002,1,1,358
9002,1,1,357
9002,1,1,360
9002,1,1,357
9002,1,1,406
9002,1,1,306
9002,1,1,305
9002,0,0,0
9002,1,1,358
9002,1,1,425
9002,1,1,391
9002,0,0,0
9002,1,1,374
9002,1,1,374
9002,0,0,0
9002,1,1,340
9002,1,1,357
9002,1,1,374
9002,1,1,339
9002,1,1,407
9002,1,1,340
9002,1,1,341
9002,1,1,341
9002,1,1,307
9002,1,1,307
9002,1,1,324
9002,0,0,0
9002,1,1,458
9002,1,1,374
9002,0,0,0
