SubjectID,StimulusType,response,RT
9004,0,0,0
9004,1,1,339
9004,1,1,305
9004,1,1,323
9004,1,1,287
9004,0,0,0
9004,1,1,324
9004,1,1,391
9004,0,0,0
9004,1,1,340
9004,1,1,358
9004,1,1,340
9004,1,1,340
9004,1,1,342
9004,0,0,0
9004,1,1,256
9004,1,1,357
9004,1,1,307
9004,1,1,323
9004,1,1,356
9004,0,0,0
9004,1,1,323
9004,1,1,391
9004,1,1,340
9004,1,1,358
9004,1,1,290
9004,0,0,0
9004,0,0,0
9004,1,1,322
9004,1,1,322
9004,0,0,0
9004,1,1,271
9004,0,0,0
9004,1,1,306
9004,0,0,0
9004,1,1,306
9004,0,0,0
9004,1,1,288
9004,1,1,307
9004,1,1,322
9004,1,1,358
9004,1,1,288
9004,1,1,307
9004,1,1,290
9004,0,0,0
9004,1,1,289
9004,0,0,0
9004,1,1,237
9004,1,1,289
9004,1,1,322
9004,1,1,306
9004,1,1,289
9004,1,1,273
9004,1,1,289
9004,1,1,306
9004,1,1,272
9004,1,1,306
9004,1,1,255
9004,1,1,271
9004,1,1,272
9004,1,1,289
9004,1,1,272
9004,0,0,0
9004,1,1,305
9004,1,1,271
9004,1,1,323
9004,1,1,288
9004,1,1,288
9004,1,1,272
9004,1,1,289
9004,1,1,288
9004,1,1,305
9004,1,1,340
9004,1,1,289
9004,1,1,290
9004,1,1,303
9004,1,1,323
9004,0,0,0
9004,1,1,272
9004,0,0,0
9004,1,1,255
9004,1,1,254
9004,1,1,304
9004,0,0,0
9004,0,1,238
9004,1,1,272
9004,1,1,289
9004,1,1,375
9004,1,1,342
9004,0,0,0
9004,1,1,305
9004,1,1,307
9004,1,1,289
9004,1,1,255
9004,1,1,339
9004,0,0,0
9004,1,1,273
9004,1,1,306
9004,1,1,306
9004,1,1,272
