SubjectID,StimulusType,response,RT
7,1,1,476
7,1,1,374
7,1,1,340
7,0,0,0
7,1,1,374
7,1,1,374
7,1,1,390
7,1,1,407
7,0,0,0
7,1,1,323
7,1,1,374
7,0,0,0
7,1,1,356
7,1,1,390
7,1,1,373
7,0,0,0
7,1,1,373
7,0,0,0
7,1,1,358
7,1,1,374
7,1,1,374
7,0,0,0
7,0,0,0
7,1,1,424
7,1,1,374
7,1,1,374
7,1,1,373
7,1,1,355
7,1,1,340
7,1,1,391
7,1,1,339
7,1,1,340
7,0,0,0
7,1,1,323
7,1,1,340
7,1,1,306
7,1,1,323
7,0,0,0
7,0,0,0
7,1,1,391
7,1,1,340
7,1,1,306
7,1,1,289
7,1,1,289
7,1,1,322
7,1,1,305
7,1,1,322
7,1,1,323
7,1,1,358
7,0,0,0
7,1,1,408
7,0,0,0
7,1,1,374
7,1,1,357
7,1,1,340
7,1,1,391
7,1,1,373
7,1,1,339
7,0,0,0
7,1,1,323
7,1,1,323
7,1,1,340
7,1,1,374
7,1,1,357
7,1,1,357
7,1,1,357
7,1,1,425
7,1,1,340
7,1,1,391
7,0,0,0
7,1,1,374
7,1,1,374
7,1,1,340
7,1,1,340
7,0,0,0
7,0,0,0
7,1,1,340
7,1,1,340
7,1,1,340
7,1,1,323
7,1,1,357
7,1,1,306
7,1,1,323
7,0,0,0
7,1,1,339
7,1,1,288
7,1,1,390
7,0,0,0
7,1,1,357
7,1,1,374
7,1,1,357
7,1,1,408
7,0,0,0
7,1,1,441
7,1,1,340
7,1,1,323
7,0,0,0
7,1,1,459
7,1,1,357
7,1,1,340
