SubjectID,StimulusType,response,RT
3000,1,1,660
3000,1,1,490
3000,1,1,337
3000,1,1,269
3000,1,1,272
3000,1,1,239
3000,1,1,217
3000,0,1,237
3000,0,0,0
3000,0,0,0
3000,1,1,408
3000,1,1,573
3000,1,1,368
3000,1,1,340
3000,1,1,410
3000,1,1,439
3000,1,1,426
3000,1,1,386
3000,0,0,0
3000,1,1,407
3000,1,1,443
3000,1,1,385
3000,0,0,0
3000,0,0,0
3000,0,0,0
3000,1,1,421
3000,1,1,420
3000,0,0,0
3000,0,0,0
3000,1,1,457
3000,0,0,0
3000,1,1,420
3000,1,1,474
3000,0,0,0
3000,1,1,462
3000,1,1,355
3000,0,0,0
3000,1,1,357
3000,1,1,419
3000,1,1,423
3000,1,1,389
3000,1,1,419
3000,1,1,425
3000,1,1,372
3000,1,1,325
3000,1,1,238
3000,1,1,406
3000,1,1,388
3000,1,1,423
3000,1,1,435
3000,1,1,439
3000,1,1,338
3000,1,1,439
3000,1,1,373
3000,0,0,0
3000,1,1,371
3000,1,1,351
3000,1,1,342
3000,1,1,353
3000,1,1,387
3000,0,0,0
3000,1,1,324
3000,1,1,390
3000,1,1,252
3000,0,0,0
3000,1,1,321
3000,1,1,371
3000,1,1,337
3000,1,1,354
3000,1,1,374
3000,1,1,405
3000,1,1,306
3000,1,1,304
3000,0,0,0
3000,1,1,336
3000,1,1,338
3000,0,1,253
3000,1,1,526
3000,1,1,488
3000,0,0,0
3000,1,1,404
3000,1,1,422
3000,1,1,439
3000,1,1,471
3000,1,1,405
3000,1,1,405
3000,1,1,387
3000,1,1,438
3000,1,1,404
3000,1,1,390
3000,1,1,425
3000,1,1,371
3000,1,1,391
3000,1,1,388
3000,1,1,372
3000,1,1,409
3000,0,0,0
3000,0,1,321
3000,1,1,473
3000,1,1,544
