SubjectID,StimulusType,response,RT
3004,1,1,655
3004,1,1,494
3004,1,1,334
3004,1,1,290
3004,1,1,271
3004,0,0,0
3004,1,1,407
3004,1,1,420
3004,1,1,385
3004,1,1,376
3004,1,1,409
3004,1,1,454
3004,1,1,372
3004,1,1,358
3004,1,1,424
3004,1,1,425
3004,1,1,491
3004,1,1,368
3004,1,1,405
3004,1,1,403
3004,0,0,0
3004,0,0,0
3004,0,0,0
3004,1,1,407
3004,0,0,0
3004,1,1,424
3004,0,0,0
3004,1,1,506
3004,1,1,557
3004,0,0,0
3004,0,0,0
3004,0,0,0
3004,1,1,463
3004,1,1,428
3004,0,0,0
3004,1,1,425
3004,1,1,409
3004,1,1,389
3004,0,0,0
3004,1,1,474
3004,1,1,461
3004,1,1,419
3004,1,1,427
3004,1,1,443
3004,0,0,0
3004,1,1,457
3004,1,1,374
3004,1,1,354
3004,1,1,372
3004,1,1,405
3004,1,1,424
3004,1,1,406
3004,0,0,0
3004,1,1,529
3004,1,1,376
3004,0,0,0
3004,1,1,452
3004,1,1,426
3004,1,1,408
3004,1,1,421
3004,1,1,421
3004,1,1,440
3004,0,0,0
3004,1,1,456
3004,1,1,474
3004,0,0,0
3004,1,1,491
3004,1,1,518
3004,1,1,487
3004,1,1,492
3004,1,1,460
3004,1,1,443
3004,1,1,441
3004,0,0,0
3004,0,0,0
3004,1,1,463
3004,1,1,410
3004,1,1,390
3004,1,1,392
3004,1,1,389
3004,1,1,407
3004,1,1,354
3004,1,1,423
3004,1,1,442
3004,1,1,412
3004,1,1,492
3004,1,1,385
3004,0,0,0
3004,1,1,540
3004,1,1,425
3004,1,1,389
3004,1,1,426
3004,1,1,457
3004,1,1,416
3004,1,1,409
3004,1,1,376
3004,0,0,0
3004,1,1,391
3004,1,1,369
3004,1,1,391
